CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
25;com.sap.netweaver.porta.core.ApplicationStatusTest$null;11;12;2;2;2;2;1;1;0;1763;2
25;com.sap.netweaver.porta.core.AuthenticationReasonTest$null;9;2;0;0;0;2;1;1;0;1763;2
25;com.sap.netweaver.porta.core.AuthenticationRefusedExceptionTest$null;8;2;0;0;0;2;1;1;0;1763;2
26;com.sap.netweaver.porta.core.CoreExceptionTest$null;9;2;0;0;0;2;1;1;0;1763;2
26;com.sap.netweaver.porta.core.CredentialsTest$null;8;1;0;0;0;2;1;1;0;1763;2
26;com.sap.netweaver.porta.core.DebugSessionInfoTest$null;7;1;0;0;0;2;1;1;0;1763;2
43;com.sap.netweaver.porta.core.DeployResultStatusTest$null;9;3;2;2;2;4;2;2;0;1761;4
44;com.sap.netweaver.porta.core.NoWSGateExceptionTest$null;7;1;0;0;0;4;2;2;0;1761;4
44;com.sap.netweaver.porta.core.NotAuthorizedExceptionTest$null;24;2;0;0;0;4;2;2;0;1761;4
44;com.sap.netweaver.porta.core.ProxyExceptionTest$null;7;1;0;0;0;4;2;2;0;1761;4
44;com.sap.netweaver.porta.core.ServerStateTest$null;8;2;0;0;0;4;2;2;0;1761;4
135;com.sap.netweaver.porta.core.mock.ApplicationMockTest$null;12;11;3;7;7;7;4;3;0;1758;11
428;com.sap.netweaver.porta.core.mock.CoreModuleMockTest$null;10;5;12;21;21;19;11;8;0;1746;32
633;com.sap.netweaver.porta.core.mock.DeployManagerMockTest$null;12;7;4;18;31;23;15;8;0;1742;50
633;com.sap.netweaver.porta.core.mock.DeployResultMockTest$null;7;2;0;0;0;23;15;8;0;1742;50
789;com.sap.netweaver.porta.core.mock.LifecycleManagerMockTest$null;10;4;0;17;27;23;15;8;0;1742;67
795;com.sap.netweaver.porta.core.mock.ServerFactoryTest$null;7;3;1;1;1;24;16;8;0;1741;68
856;com.sap.netweaver.porta.core.mock.ServerMockTest$null;11;9;4;6;6;28;19;9;0;1737;74
4805;com.sap.netweaver.porta.core.nw7.ApplicationImplTest$null;64;93;1;60;62;29;20;9;0;1736;134
27425;com.sap.netweaver.porta.core.nw7.DeployManagerImplTest$null;124;182;21;195;196;50;29;20;1;1715;329
27425;com.sap.netweaver.porta.core.nw7.DeployResultImplTest$null;7;2;0;0;0;50;29;20;1;1715;329
27426;com.sap.netweaver.porta.core.nw7.FaultReasonsTest$null;9;5;0;0;0;50;29;20;1;1715;329
515297;com.sap.netweaver.porta.core.nw7.LMUtilsTest$null;365;475;135;1488;1489;185;88;92;5;1580;1817
554280;com.sap.netweaver.porta.core.nw7.LifecycleManagerImplTest$null;246;248;58;184;199;243;131;107;5;1522;2001
555404;com.sap.netweaver.porta.core.nw7.OperationTest$null;187;194;7;7;13;250;137;108;5;1515;2008
555417;com.sap.netweaver.porta.core.nw7.ServerFactoryTest$null;9;4;2;2;2;252;139;108;5;1513;2010
560058;com.sap.netweaver.porta.core.nw7.ServerImplTest$null;108;118;3;51;63;255;141;109;5;1510;2061
560131;com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNWRuntimeTest$null;23;11;1;5;5;256;141;110;5;1509;2066
