CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
450;org.lunivore.tyburn.ComponentFinderBehaviour$null;32;91;20;24;24;20;8;12;0;201;24
9368;org.lunivore.tyburn.FocuserBehaviour$null;92;186;18;56;57;38;11;20;7;183;80
9378;org.lunivore.tyburn.HeadlessCheckerBehaviour$null;13;1;1;1;2;39;12;20;7;182;81
9449;org.lunivore.tyburn.NamedComponentFilterBehaviour$null;8;5;2;8;8;41;13;21;7;180;89
9449;org.lunivore.tyburn.SpeedBehaviour$null;2;0;0;0;0;41;13;21;7;180;89
252893;org.lunivore.tyburn.WindowControlBehaviour$null;689;741;95;117;157;136;22;28;86;85;206
253337;org.lunivore.tyburn.actors.WindowGrabberBehaviour$null;115;100;1;5;17;137;23;28;86;84;211
253727;org.lunivore.tyburn.asciigrid.ImageToAsciiGridConverterBehaviour$null;26;6;52;62;66;189;51;52;86;32;273
253728;org.lunivore.tyburn.threaded.ClockedTimeouterBehaviour$null;7;2;0;0;7;189;51;52;86;32;273
255802;org.lunivore.tyburn.threaded.QueuedMiniHashMapBehaviour$null;612;607;2;4;17;191;53;52;86;30;277
255802;org.lunivore.tyburn.threaded.QueuedObjectHolderBehaviour$null;519;611;0;0;16;191;53;52;86;30;277
