CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
496;com.thesleepless.helium.ActionRegisterBuilderTest$null;46;51;6;10;10;6;2;4;0;254;10
1879;com.thesleepless.helium.ArticleBuilderTest$null;100;75;12;21;25;18;12;6;0;242;31
11008;com.thesleepless.helium.ArticleParserTest$null;201;204;65;80;93;83;57;25;1;177;111
11134;com.thesleepless.helium.HeliumFactoryTest$null;46;11;2;5;12;85;57;27;1;175;116
23601;com.thesleepless.helium.ui.text.CommandLineTest$null;154;154;74;118;184;159;108;49;2;101;234
23676;com.thesleepless.helium.util.IteratorFactoryTest$null;48;2;3;3;7;162;110;50;2;98;237
24205;com.thesleepless.helium.util.TagUtilTest$null;32;7;1;10;34;163;110;51;2;97;247
47072;com.thesleepless.heliumx.servlet.HeliumServletTest$null;396;380;32;64;109;196;131;62;3;64;311
