CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
808;gnu.trove.TDecoratorsTest$null;11;50;38;88;88;38;29;9;0;6136;88
33575;gnu.trove.decorator.TObjectPrimitiveMapDecoratorTest$null;62;37;320;1117;1117;358;214;142;2;5816;1205
66862;gnu.trove.decorator.TPrimitiveObjectMapDecoratorTest$null;70;36;253;1057;1090;611;371;236;4;5563;2262
276910;gnu.trove.decorator.TPrimitivePrimitiveMapDecoratorTest$null;3239;270;272;1022;1070;883;532;347;4;5291;3284
312331;gnu.trove.decorator.TPrimitiveSetDecoratorTest$null;71;38;94;869;1042;977;576;394;7;5197;4153
314185;gnu.trove.impl.PrimeFinderTest$null;7;4;7;495;502;984;583;394;7;5190;4648
341899;gnu.trove.impl.hash.THashTest$null;42;45;79;938;1428;1063;630;423;10;5111;5586
355898;gnu.trove.impl.hash.TObjectHashTest$null;36;24;13;679;813;1076;630;436;10;5098;6265
750266;gnu.trove.list.array.TArrayListTest$null;1508;1912;134;251;283;1210;686;502;22;4964;6516
773171;gnu.trove.list.array.TPrimitiveArrayListTest$null;29;21;242;1073;1382;1452;831;591;30;4722;7589
773377;gnu.trove.list.linked.TLinkableAdapterTest$null;7;5;17;46;46;1469;834;605;30;4705;7635
806778;gnu.trove.list.linked.TLinkedListTest$null;409;106;224;366;383;1693;960;701;32;4481;8001
832530;gnu.trove.list.linked.TPrimitiveLinkedListTest$null;43;24;278;1035;1232;1971;1127;807;37;4203;9036
839521;gnu.trove.map.hash.NoEntryValueTest$null;12;10;13;613;726;1984;1131;813;40;4190;9649
878533;gnu.trove.map.hash.TCustomHashMapTest$null;83;65;68;679;871;2052;1149;863;40;4122;10328
906162;gnu.trove.map.hash.THashMapTest$null;42;28;257;1032;1279;2309;1315;951;43;3865;11360
913589;gnu.trove.map.hash.TObjectPrimitiveCustomHashMapTest$null;14;13;25;620;741;2334;1322;969;43;3840;11980
1070332;gnu.trove.map.hash.TObjectPrimitiveHashMapTest$null;1221;148;218;1107;1608;2552;1457;1052;43;3622;13087
1247550;gnu.trove.map.hash.TPrimitiveObjectHashMapTest$null;1254;143;387;1457;1921;2939;1719;1177;43;3235;14544
1415112;gnu.trove.map.hash.TPrimitivePrimitiveHashMapTest$null;1493;139;415;1529;2079;3354;2001;1310;43;2820;16073
1456928;gnu.trove.set.hash.TCustomHashSetTest$null;11;9;232;589;726;3586;2008;1332;246;2588;16662
1486439;gnu.trove.set.hash.THashSetTest$null;196;54;84;561;1038;3670;2053;1371;246;2504;17223
1707450;gnu.trove.set.hash.TLinkedHashSetTest$null;16373;420;41;539;1100;3711;2073;1392;246;2463;17762
1726795;gnu.trove.set.hash.TPrimitiveHashSetTest$null;70;34;65;601;1128;3776;2120;1410;246;2398;18363
1728111;gnu.trove.stack.array.TStackTest$null;10;8;63;157;259;3839;2141;1452;246;2335;18520
1731070;gnu.trove.strategy.IdentityHashingStrategyTest$null;9;8;1;317;672;3840;2142;1452;246;2334;18837
