GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trove-3.0.3,gnu.trove.map.custom_hash,TObjectShortCustomHashMap.MapBackedView,117,0,12,0,31,0,17,0,11,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectDoubleCustomHashMap.MapBackedView,117,0,12,0,31,0,17,0,11,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectFloatCustomHashMap.new TObjectFloatProcedure() {...},35,0,2,0,6,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectFloatCustomHashMap.new TObjectFloatProcedure() {...},14,0,0,0,3,0,2,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectByteCustomHashMap.TByteValueCollection.new TByteProcedure() {...},31,0,2,0,7,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectIntCustomHashMap.TObjectIntHashIterator,39,0,0,0,11,0,5,0,5,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectLongCustomHashMap,1019,0,130,0,225,0,105,0,40,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectDoubleCustomHashMap.new TObjectDoubleProcedure() {...},14,0,0,0,3,0,2,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectDoubleCustomHashMap.new TObjectDoubleProcedure() {...},35,0,2,0,6,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectShortCustomHashMap.KeyView,31,0,2,0,4,0,5,0,4,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectCharCustomHashMap.new TObjectCharProcedure() {...},14,0,0,0,3,0,2,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectCharCustomHashMap.new TObjectCharProcedure() {...},35,0,2,0,6,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectLongCustomHashMap.MapBackedView,117,0,12,0,31,0,17,0,11,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectIntCustomHashMap.TIntValueCollection,357,0,58,0,94,0,54,0,25,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectFloatCustomHashMap.KeyView,32,0,2,0,4,0,5,0,4,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectDoubleCustomHashMap.TObjectDoubleHashIterator,39,0,0,0,11,0,5,0,5,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectLongCustomHashMap.TLongValueCollection.TObjectLongValueHashIterator,121,0,14,0,25,0,13,0,6,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectIntCustomHashMap.MapBackedView,107,10,12,0,29,2,15,2,9,2
trove-3.0.3,gnu.trove.map.custom_hash,TObjectCharCustomHashMap.TCharValueCollection.new TCharProcedure() {...},31,0,2,0,7,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectCharCustomHashMap.TCharValueCollection,357,0,58,0,94,0,54,0,25,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectLongCustomHashMap.TLongValueCollection.new TLongProcedure() {...},31,0,2,0,7,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectByteCustomHashMap.TObjectByteHashIterator,39,0,0,0,11,0,5,0,5,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectFloatCustomHashMap,1019,0,130,0,225,0,105,0,40,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectFloatCustomHashMap.TFloatValueCollection,358,0,58,0,94,0,54,0,25,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectIntCustomHashMap.new TObjectIntProcedure() {...},35,0,2,0,6,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectIntCustomHashMap.new TObjectIntProcedure() {...},8,6,0,0,2,1,1,1,1,1
trove-3.0.3,gnu.trove.map.custom_hash,TObjectShortCustomHashMap,1013,0,130,0,225,0,105,0,40,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectLongCustomHashMap.TLongValueCollection,358,0,58,0,94,0,54,0,25,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectFloatCustomHashMap.TFloatValueCollection.new TFloatProcedure() {...},31,0,2,0,7,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectByteCustomHashMap.KeyView,31,0,2,0,4,0,5,0,4,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectShortCustomHashMap.TObjectShortHashIterator,39,0,0,0,11,0,5,0,5,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectIntCustomHashMap.KeyView,18,13,2,0,2,2,3,2,2,2
trove-3.0.3,gnu.trove.map.custom_hash,TObjectLongCustomHashMap.KeyView,32,0,2,0,4,0,5,0,4,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectIntCustomHashMap,841,170,120,10,182,43,92,13,30,10
trove-3.0.3,gnu.trove.map.custom_hash,TObjectByteCustomHashMap.MapBackedView,117,0,12,0,31,0,17,0,11,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectByteCustomHashMap.new TObjectByteProcedure() {...},35,0,2,0,6,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectByteCustomHashMap.new TObjectByteProcedure() {...},14,0,0,0,3,0,2,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectIntCustomHashMap.TIntValueCollection.TObjectIntValueHashIterator,121,0,14,0,25,0,13,0,6,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectCharCustomHashMap,1013,0,130,0,225,0,105,0,40,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectShortCustomHashMap.TShortValueCollection.new TShortProcedure() {...},31,0,2,0,7,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectCharCustomHashMap.MapBackedView,117,0,12,0,31,0,17,0,11,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectIntCustomHashMap.TIntValueCollection.new TIntProcedure() {...},31,0,2,0,7,0,3,0,2,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectFloatCustomHashMap.TFloatValueCollection.TObjectFloatValueHashIterator,121,0,14,0,25,0,13,0,6,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectCharCustomHashMap.KeyView,31,0,2,0,4,0,5,0,4,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectShortCustomHashMap.TShortValueCollection.TObjectShortValueHashIterator,121,0,14,0,25,0,13,0,6,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectDoubleCustomHashMap,1019,0,130,0,225,0,105,0,40,0
trove-3.0.3,gnu.trove.map.custom_hash,TObjectByteCustomHashMap.TByteValueCollection,357,0,58,0,94,0,54,0,25,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedIntObjectMap,506,0,6,0,53,0,33,0,30,0
trove-3.0.3,gnu.trove.impl.sync,TSynchronizedByteIntMap,564,0,6,0,57,0,37,0,34,0
