CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
404;com.thesleepless.helium.ActionRegisterBuilderTest$null;37;30;6;10;10;6;0;6;0;297;10
1682;com.thesleepless.helium.ArticleBuilderTest$null;62;80;12;21;25;18;10;8;0;285;31
9500;com.thesleepless.helium.ArticleParserTest$null;130;166;65;80;93;83;55;27;1;220;111
9665;com.thesleepless.helium.HeliumFactoryTest$null;29;6;2;5;12;85;55;29;1;218;116
10254;com.thesleepless.helium.RegisterActionTest$null;83;90;3;8;49;88;57;30;1;215;124
10635;com.thesleepless.helium.action.ActionActionTest$null;53;37;2;7;52;90;58;31;1;213;131
11678;com.thesleepless.helium.action.ActionSetActionTest$null;75;63;8;15;56;98;58;39;1;205;146
12306;com.thesleepless.helium.action.ConstructActionTest$null;94;91;3;8;48;101;61;39;1;202;154
14465;com.thesleepless.helium.action.IncludeActionTest$null;96;83;12;26;81;113;71;41;1;190;180
16802;com.thesleepless.helium.action.IterateActionTest$null;90;65;8;22;77;121;75;44;2;182;202
17724;com.thesleepless.helium.action.ListActionTest$null;122;63;8;13;60;129;82;45;2;174;215
19073;com.thesleepless.helium.action.VarActionTest$null;89;70;5;16;96;134;86;46;2;169;231
22782;com.thesleepless.helium.action.WhenActionTest$null;137;122;23;34;88;157;101;54;2;146;265
27515;com.thesleepless.helium.ui.text.CommandLineTest$null;120;110;47;66;184;204;128;74;2;99;331
27583;com.thesleepless.helium.util.IteratorFactoryTest$null;20;2;3;3;7;207;130;75;2;96;334
27844;com.thesleepless.helium.util.TagUtilTest$null;28;6;2;8;34;209;131;76;2;94;342
28726;com.thesleepless.heliumx.net.UrlEncodeActionTest$null;88;95;8;13;60;217;135;80;2;86;355
44463;com.thesleepless.heliumx.servlet.HeliumServletTest$null;292;256;28;55;109;245;152;91;2;58;410
47706;com.thesleepless.heliumx.servlet.action.AttributeActionTest$null;192;157;12;18;75;257;161;94;2;46;428
53921;com.thesleepless.heliumx.servlet.action.CookieActionTest$null;289;230;18;28;84;275;172;101;2;28;456
54678;com.thesleepless.heliumx.servlet.action.ParameterActionTest$null;111;53;0;6;58;275;172;101;2;28;462
56764;com.thesleepless.heliumx.servlet.action.RequestActionTest$null;185;130;4;12;62;279;176;101;2;24;474
